Round,Male Temp,Larval Temp,Male ID,Treatment,Temp_Num,Temp,Normal,Abnormal,Dead
1,H,H,H1,HH,0,24.3,99,1,0
1,H,H,H2,HH,0,24.3,90,1,9
1,H,H,H3,HH,0,24.3,99,1,0
1,H,L,H1,HL,0,24.7,99,1,0
1,H,L,H2,HL,0,24.5,100,0,0
1,H,L,H3,HL,0,24.7,100,0,0
1,L,H,L1,LH,0,24.6,100,0,0
1,L,H,L2,LH,0,24.7,84,6,9
1,L,H,L3,LH,0,24.5,100,0,0
1,L,L,L1,LL,0,24.7,91,8,1
1,L,L,L2,LL,0,24.7,97,3,0
1,L,L,L3,LL,0,24.6,97,3,0
1,H,H,H1,HH,1,26.8,102,0,0
1,H,H,H2,HH,1,26.8,83,1,16
1,H,H,H3,HH,1,26.8,100,0,0
2,H,H,H4,HH,1,26.8,88,10,2
2,H,H,H5,HH,1,27.1,85,15,0
2,H,H,H6,HH,1,27.1,93,7,0
3,H,H,H7,HH,1,26.8,100,1,0
3,H,H,H8,HH,1,26.9,81,18,1
3,H,H,H9,HH,1,27.1,92,6,1
1,H,L,H1,HL,1,27.5,15,85,0
1,H,L,H2,HL,1,27.6,14,81,5
1,H,L,H3,HL,1,27.3,39,61,0
2,H,L,H4,HL,1,26.6,93,7,0
2,H,L,H5,HL,1,26.6,95,5,0
2,H,L,H6,HL,1,26.6,84,11,5
3,H,L,H7,HL,1,27.2,100,0,0
3,H,L,H8,HL,1,27,86,14,0
3,H,L,H9,HL,1,27.1,100,0,0
1,L,H,L1,LH,1,27.2,77,6,17
1,L,H,L2,LH,1,27.1,124,0,0
1,L,H,L3,LH,1,27.2,83,4,13
2,L,H,L4,LH,1,26.6,99,1,0
2,L,H,L5,LH,1,26.6,65,10,25
3,L,H,L7,LH,1,26.8,93,6,2
3,L,H,L8,LH,1,26.7,95,5,1
3,L,H,L9,LH,1,26.7,98,2,0
1,L,L,L1,LL,1,27.2,76,24,0
1,L,L,L2,LL,1,27.4,34,66,0
1,L,L,L3,LL,1,27.4,18,83,0
2,L,L,L4,LL,1,27,97,3,0
2,L,L,L5,LL,1,26.8,93,7,0
2,L,L,L6,LL,1,26.8,93,6,1
3,L,L,L7,LL,1,26.9,54,41,5
3,L,L,L8,LL,1,27.1,91,9,0
3,L,L,L9,LL,1,27.1,78,22,0
1,H,H,H1,HH,2,27.9,99,1,0
1,H,H,H2,HH,2,28,100,0,0
1,H,H,H3,HH,2,27.9,97,3,0
2,H,H,H4,HH,2,27.8,90,10,0
2,H,H,H6,HH,2,27.7,85,15,0
3,H,H,H7,HH,2,27.9,76,24,0
3,H,H,H8,HH,2,27.9,44,56,0
3,H,H,H9,HH,2,28,76,24,0
1,H,L,H2,HL,2,28.2,14,86,0
1,H,L,H3,HL,2,28.5,0,98,2
2,H,L,H4,HL,2,27.4,46,54,0
2,H,L,H5,HL,2,27.5,5,93,2
2,H,L,H6,HL,2,27.5,16,84,0
3,H,L,H7,HL,2,27.9,18,86,0
3,H,L,H8,HL,2,27.9,3,96,1
3,H,L,H9,HL,2,27.8,67,27,0
1,L,H,L1,LH,2,28.1,13,85,1
1,L,H,L2,LH,2,28,7,87,0
1,L,H,L3,LH,2,28,87,1,12
2,L,H,L4,LH,2,27.5,73,27,1
2,L,H,L5,LH,2,27.5,94,6,5
2,L,H,L6,LH,2,27.5,82,3,16
3,L,H,L7,LH,2,27.6,76,21,3
3,L,H,L8,LH,2,27.7,34,67,0
3,L,H,L9,LH,2,27.6,85,15,0
1,L,L,L1,LL,2,28.2,12,88,0
1,L,L,L2,LL,2,28.3,0,86,14
1,L,L,L3,LL,2,28.2,4,94,0
2,L,L,L4,LL,2,27.9,88,12,0
2,L,L,L5,LL,2,27.6,50,42,8
2,L,L,L6,LL,2,27.8,31,70,0
3,L,L,L7,LL,2,28.2,98,3,0
3,L,L,L8,LL,2,28.2,76,26,0
3,L,L,L9,LL,2,27.9,63,39,1
1,H,H,H1,HH,3,28.9,7,35,58
1,H,H,H2,HH,3,28.7,5,57,38
1,H,H,H3,HH,3,28.6,7,93,0
2,H,H,H4,HH,3,28.8,0,100,0
2,H,H,H5,HH,3,28.7,28,72,0
2,H,H,H6,HH,3,28.9,0,95,5
3,H,H,H7,HH,3,28.9,0,96,4
3,H,H,H8,HH,3,29,0,100,1
3,H,H,H9,HH,3,29,18,82,0
1,H,L,H2,HL,3,29.4,8,86,6
1,H,L,H3,HL,3,29.3,0,98,2
2,H,L,H4,HL,3,28.4,0,98,2
2,H,L,H5,HL,3,28.5,2,72,16
2,H,L,H6,HL,3,28.5,3,97,0
3,H,L,H7,HL,3,29,2,92,7
3,H,L,H8,HL,3,29,0,97,3
3,H,L,H9,HL,3,29.1,0,99,1
1,L,H,L1,LH,3,29.1,7,69,24
1,L,H,L2,LH,3,29,18,83,1
1,L,H,L3,LH,3,28.9,10,89,1
